index,trial,block,image_left,image_right,old_image,new_image,button,subject_index,valid,idx_trial_subj,left_is_new,right_is_new,old_new_comb,category_left,category_right,time_left,time_right,longer_left,longer_right,avg_dur_left,avg_dur_right,longer_avg_dur_left,longer_avg_dur_right
2062,63,2,96,55,2,1,1,11,True,3048,True,False,1,natural,urban,0.3993025283347864,0.6006974716652136,False,True,229.0,344.5,False,True
2063,64,2,38,59,1,2,1,11,True,3097,False,True,3,urban,humans,0.37488789237668163,0.6251121076233184,False,True,278.6666666666667,232.33333333333334,True,False
2064,65,2,191,33,1,2,2,11,True,3146,False,True,3,faces,urban,0.6051423324150597,0.3948576675849403,True,False,219.66666666666666,215.0,True,False
2065,66,2,132,103,1,2,2,11,True,3195,False,True,3,urban,natural,0.352112676056338,0.647887323943662,False,True,266.6666666666667,245.33333333333334,True,False
2066,67,2,144,93,1,2,2,11,True,3244,False,True,3,natural,faces,0.6878048780487804,0.3121951219512195,True,False,338.4,256.0,True,False
2067,68,2,166,158,1,2,2,11,True,3293,False,True,3,natural,urban,0.4621342512908778,0.5378657487091222,False,True,268.5,312.5,False,True
2068,69,2,11,65,2,1,2,11,True,3342,True,False,1,urban,natural,0.4198198198198198,0.5801801801801801,False,True,310.6666666666667,322.0,False,True
2069,70,2,62,59,2,1,1,11,True,3391,True,False,1,urban,humans,0.3710247349823322,0.6289752650176679,False,True,280.0,284.8,False,True
2070,71,2,66,120,1,2,2,11,True,3440,False,True,3,natural,urban,0.2817777777777778,0.7182222222222222,False,True,211.33333333333334,269.3333333333333,False,True
2071,72,2,118,124,1,2,2,11,True,3489,False,True,3,natural,faces,0.536283185840708,0.46371681415929206,True,False,303.0,262.0,True,False
2072,73,2,115,186,2,1,1,11,True,3538,True,False,1,natural,urban,0.5013169446883231,0.4986830553116769,True,False,285.5,378.6666666666667,False,True
2073,74,2,152,79,1,2,2,11,True,3587,False,True,3,urban,humans,0.4944961896697714,0.5055038103302286,False,True,292.0,298.5,False,True
2074,75,2,172,123,2,1,1,11,True,3636,True,False,1,urban,humans,0.7616984402079723,0.23830155979202772,True,False,293.0,275.0,True,False
2075,76,2,200,153,1,2,2,11,True,3685,False,True,3,natural,urban,0.36898839137645106,0.6310116086235489,False,True,296.6666666666667,380.5,False,True
2076,77,2,81,14,1,2,2,11,True,3734,False,True,3,urban,urban,0.24298245614035088,0.7570175438596491,False,True,184.66666666666666,345.2,False,True
2077,78,2,47,96,2,1,1,11,True,3783,True,False,1,humans,natural,0.7067873303167421,0.29321266968325793,True,False,223.14285714285714,324.0,False,True
2078,79,2,148,27,1,2,2,11,True,3832,False,True,3,natural,urban,0.3431111111111111,0.6568888888888889,False,True,257.3333333333333,246.33333333333334,True,False
2079,80,2,78,128,1,2,2,11,True,3881,False,True,3,natural,humans,0.376425855513308,0.623574144486692,False,True,264.0,218.66666666666666,True,False
2080,81,2,85,141,2,1,1,11,False,3930,True,False,1,natural,indoor,0.5293088363954506,0.47069116360454943,True,False,302.5,358.6666666666667,False,True
2081,82,2,171,107,2,1,1,11,True,3979,True,False,1,humans,urban,0.7184466019417476,0.2815533980582524,True,False,325.6,212.66666666666666,True,False
2082,83,2,117,167,2,1,2,11,True,4028,True,False,1,natural,noise,0.8316831683168316,0.16831683168316833,True,False,264.0,187.0,True,False
