index,gbvs_left,gbvs_right,deepgaze_left,deepgaze_right,idx_trial_subj
35,1159732.2,121013.17,794110.2483725913,42866.008749980174,1764
36,671148.5,402486.53,387176.2016032923,302787.47894457215,1813
37,602224.3,1089666.9,469755.37554302067,817351.4697787982,1862
38,939625.9,1097683.6,859264.0812836323,943431.116258188,1911
39,1370043.9,535326.4,564898.2783749354,499879.44133329444,1960
40,1379793.8,721622.6,800337.9234168319,660957.0594150231,2009
41,973816.6,793150.8,984486.686912457,903092.5060081285,2058
42,872002.56,894863.5,612765.6861232336,580356.8681138495,2107
43,1021028.0,748999.0,1299414.1124254295,531203.2680802385,2156
44,791388.25,541323.25,286016.33869944565,336190.9256034624,2205
45,807012.0,1122728.9,359109.5396624579,537706.8928427825,2254
46,1383199.2,738270.0,495687.43926878256,720093.9702395529,2303
47,592827.06,838589.7,429822.57786696934,866772.5868362009,2352
48,1260421.8,584089.44,731229.0932270631,511433.01593004423,2401
49,1145726.5,955314.5,762523.0256937161,813388.6611642586,2450
50,515452.47,637337.06,577690.2955982958,387846.0861161623,2499
51,609924.7,1078496.8,713533.8638982957,498122.7373471564,2548
52,1333154.8,1254502.4,800222.60075175,957383.7025697455,2597
53,1244931.5,1558883.0,831660.7136396402,977384.1737889037,2646
54,662171.75,833946.44,579874.4032254899,770116.9223612322,2695
55,1013916.2,768006.7,955170.226430964,398486.63279074803,2744
56,901312.2,1122272.8,566235.7397154479,708501.306719647,2793
57,868497.8,1135442.0,664163.2704010042,590151.6744872527,2842
58,1158976.0,747839.25,494285.3225339329,700898.8055740662,2891
59,688573.0,676860.3,457712.4004268779,990811.8438299444,2940
60,700939.4,840141.5,694427.7927710449,617649.4214878399,2989
61,976727.4,1152382.5,599375.2151525365,599242.5141284514,3038
62,837890.5,1458950.0,174535.3970390989,902726.4966875325,3087
63,690949.06,1087829.4,659152.6307840892,689058.4597185646,3136
64,997182.75,1102073.6,733499.5992934498,651468.301405309,3185
65,1033565.2,1005724.2,653890.7964318199,718804.3046589805,3234
66,821059.2,1037514.56,725765.894426297,936038.3204016449,3283
67,1174702.6,745465.25,744148.0816467685,1252216.3604713196,3332
68,1203776.4,1003726.3,552168.5328119246,406681.35918721627,3381
69,1207176.6,1289096.6,1037106.2253208951,1010746.9027826127,3430
70,642940.3,1351900.6,457334.0630956658,1003086.1971872201,3479
71,589730.1,738081.4,683680.9378361934,945516.1514729459,3528
72,737843.75,986494.44,606439.362808826,802332.6825442987,3577
73,811554.0,939501.9,666125.9409014162,866158.9660999293,3626
74,888544.44,922432.5,884187.0544317318,745603.6172783397,3675
75,947169.3,1376190.2,825554.4620678315,767707.3728222077,3724
76,1527943.4,842530.75,965568.4807169143,389855.3028112153,3773
77,526535.94,756337.56,617277.4354877665,702143.9577851483,3822
